カードID=01100410CA138C1D
利用年月日,定期,鉄道会社名,入場駅/事業者名,定期,鉄道会社名,出場駅/降車場所,利用額(円),残額(円),メモ
2018/02/14,,JR東,秋葉原,,JR東,大崎,194,2294,
2018/02/14,,TX,青井,,TX,秋葉原,329,2488,
2018/02/13,,東武,北千住,,東武,五反野,144,2817,
2018/02/13,,JR東,大崎,,JR東,北千住,302,2961,
2018/02/13,,JR東,北千住,,JR東,大崎,302,3263,
2018/02/13,,東武,五反野,,東武,北千住,144,3565,
2018/02/12,,東武,栃木,,東武,五反野,885,3709,
2018/02/12,,東武,栃木,,,,-1000,4594,現金ﾁｬｰｼﾞ
2018/02/10,,東武,五反野,,東武,栃木,885,3594,
2018/02/09,,東武,北千住,,東武,五反野,144,4479,
2018/02/09,,JR東,大崎,,JR東,北千住,302,4623,
2018/02/09,,JR東,北千住,,JR東,大崎,302,4925,
2018/02/09,,東武,五反野,,東武,北千住,144,5227,
2018/02/04,,東武,五反野,,,,-5000,5371,現金ﾁｬｰｼﾞ
2018/02/04,,東武,栃木,,東武,五反野,885,371,
2018/02/04,,東武,栃木,,,,-1000,1256,現金ﾁｬｰｼﾞ
2018/02/02,,東武,五反野,,東武,栃木,885,256,
2018/02/02,,東武,栃木,,,,-1000,1141,現金ﾁｬｰｼﾞ
2018/01/28,,東武,栃木,,東武,五反野,885,141,
2018/01/28,,東武,栃木,,,,-1000,1026,現金ﾁｬｰｼﾞ
2018/01/27,,東武,五反野,,東武,栃木,885,26,
2018/01/22,,TX,北千住,,TX,青井,206,911,
2018/01/22,,TX,北千住,,,,-1000,1117,現金ﾁｬｰｼﾞ
2018/01/21,,東武,栃木,,東武,五反野,885,117,
2018/01/21,,東武,栃木,,,,-1000,1002,現金ﾁｬｰｼﾞ
2018/01/19,,東武,五反野,,東武,栃木,885,2,
2018/01/19,,東武,栃木,,,,-770,887,現金ﾁｬｰｼﾞ
2018/01/14,,東武,栃木,,東武,五反野,885,117,
2018/01/14,,東武,栃木,,,,-1000,1002,現金ﾁｬｰｼﾞ
2018/01/12,,東武,五反野,,東武,栃木,885,2,
2018/01/12,,東武,栃木,,,,-570,887,現金ﾁｬｰｼﾞ
2018/01/08,,東武,栃木,,東武,五反野,885,317,
2018/01/08,,東武,栃木,,,,-1000,1202,現金ﾁｬｰｼﾞ
2017/12/28,,東武,五反野,,東武,栃木,885,202,
2017/12/26,,JR東,五反田,○,JR東,大崎,133,1087,
2017/12/26,,JR東,五反田,,,,-1000,1220,現金ﾁｬｰｼﾞ
2017/12/26,,JR東,大崎,,JR東,五反田,133,220,
2017/12/24,,東武,栃木,,東武,五反野,885,353,
2017/12/24,,東武,栃木,,,,-1000,1238,現金ﾁｬｰｼﾞ
2017/12/22,,東武,五反野,,東武,栃木,885,238,
2017/12/22,,東武,栃木,,,,-1000,1123,現金ﾁｬｰｼﾞ
2017/12/17,,東武,栃木,,東武,五反野,885,123,
2017/12/17,,東武,栃木,,,,-1000,1008,現金ﾁｬｰｼﾞ
2017/12/15,,東武,五反野,,東武,栃木,885,8,
2017/12/15,,東武,栃木,,,,-540,893,現金ﾁｬｰｼﾞ
2017/12/10,,東武,栃木,,東武,五反野,885,353,
2017/12/10,,東武,栃木,,,,-1000,1238,現金ﾁｬｰｼﾞ
2017/12/09,,東武,五反野,,東武,栃木,885,238,
2017/12/09,,東武,栃木,,,,-1000,1123,現金ﾁｬｰｼﾞ
2017/12/03,,東武,栃木,,東武,五反野,885,123,
2017/12/03,,東武,栃木,,,,-1000,1008,現金ﾁｬｰｼﾞ
2017/12/01,,東武,五反野,,東武,栃木,885,8,
2017/12/01,,東武,栃木,,,,-770,893,現金ﾁｬｰｼﾞ
2017/11/26,,東武,栃木,,東武,五反野,885,123,
2017/11/26,,東武,栃木,,,,-1000,1008,現金ﾁｬｰｼﾞ
2017/11/24,,東武,五反野,,東武,栃木,885,8,
2017/11/24,,東武,栃木,,,,-310,893,現金ﾁｬｰｼﾞ
2017/11/19,,東武,栃木,,東武,五反野,885,583,
2017/11/19,,東武,栃木,,,,-1000,1468,現金ﾁｬｰｼﾞ
2017/11/18,,東武,五反野,,東武,栃木,885,468,
2017/11/18,,東武,栃木,,,,-1000,1353,現金ﾁｬｰｼﾞ
2017/11/11,,東武,栃木,,東武,五反野,885,353,
2017/11/11,,東武,栃木,,,,-1000,1238,現金ﾁｬｰｼﾞ
2017/11/09,,東武,五反野,,東武,栃木,885,238,
2017/11/09,,東武,五反野,,,,-1000,1123,現金ﾁｬｰｼﾞ
2017/11/05,,東武,栃木,,東武,五反野,885,123,
2017/11/05,,東武,栃木,,,,-1000,1008,現金ﾁｬｰｼﾞ
2017/11/02,,東武,五反野,,東武,栃木,885,8,
2017/11/02,,東武,栃木,,,,-770,893,現金ﾁｬｰｼﾞ
2017/10/29,,東武,栃木,,東武,五反野,885,123,
2017/10/29,,東武,栃木,,,,-1000,1008,現金ﾁｬｰｼﾞ
2017/10/27,,東武,五反野,,東武,栃木,885,8,
2017/10/27,,東武,栃木,,,,-770,893,現金ﾁｬｰｼﾞ
2017/10/22,,東武,栃木,,東武,五反野,885,123,
2017/10/22,,東武,栃木,,,,-1000,1008,現金ﾁｬｰｼﾞ
2017/10/20,,東武,五反野,,東武,栃木,885,8,
2017/10/20,,東武,栃木,,,,-660,893,現金ﾁｬｰｼﾞ
2017/10/15,,東武,栃木,,東武,五反野,885,233,
2017/10/15,,東武,栃木,,,,-1000,1118,現金ﾁｬｰｼﾞ
2017/10/09,,東武,栃木,,東武,五反野,885,118,
2017/10/09,,東武,栃木,,,,-1000,1003,現金ﾁｬｰｼﾞ
2017/10/07,,東武,五反野,,東武,栃木,885,3,
2017/10/07,,東武,栃木,,,,-880,888,現金ﾁｬｰｼﾞ
2017/10/06,○,メトロ,上野,,メトロ,仲御徒町,165,8,
2017/10/06,,メトロ,仲御徒町,,,,-50,173,現金ﾁｬｰｼﾞ
2017/10/01,,東武,栃木,,東武,五反野,885,123,
2017/10/01,,東武,栃木,,,,-1000,1008,現金ﾁｬｰｼﾞ
2017/09/30,,東武,五反野,,東武,栃木,885,8,
2017/09/30,,東武,栃木,,,,-770,893,現金ﾁｬｰｼﾞ
2017/09/24,,東武,栃木,,東武,五反野,885,123,
2017/09/24,,東武,栃木,,,,-1000,1008,現金ﾁｬｰｼﾞ
2017/09/23,,東武,五反野,,東武,栃木,885,8,
2017/09/23,,東武,栃木,,,,-540,893,現金ﾁｬｰｼﾞ
2017/09/18,,東武,栃木,,東武,五反野,885,353,
2017/09/18,,東武,栃木,,,,-1000,1238,現金ﾁｬｰｼﾞ
2017/09/16,,東武,五反野,,東武,栃木,885,238,
2017/09/14,,東武,五反野,,,,-1000,1123,現金ﾁｬｰｼﾞ
2017/09/10,,東武,栃木,,東武,五反野,885,123,
2017/09/10,,東武,栃木,,,,-1000,1008,現金ﾁｬｰｼﾞ
2017/09/09,,東武,五反野,,東武,栃木,885,8,
2017/09/09,,東武,栃木,,,,-770,893,現金ﾁｬｰｼﾞ
2017/09/03,,東武,栃木,,東武,五反野,885,123,
2017/09/03,,東武,栃木,,,,-1000,1008,現金ﾁｬｰｼﾞ
2017/09/01,,東武,五反野,,東武,栃木,885,8,
2017/09/01,,東武,栃木,,,,-630,893,現金ﾁｬｰｼﾞ
2017/08/31,,メトロ,上野,,東武,五反野,309,263,
2017/08/31,,JR東,大崎,,JR東,上野,194,572,
2017/08/31,,JR東,上野,,JR東,大崎,194,766,
2017/08/31,,東武,五反野,,メトロ,上野,309,960,
2017/08/31,,東武,五反野,,,,-1000,1269,現金ﾁｬｰｼﾞ
2017/08/30,,メトロ,仲御徒町,,東武,五反野,309,269,
2017/08/30,,JR東,大崎,,JR東,御徒町,194,578,
2017/08/30,,JR東,御徒町,,JR東,大崎,194,772,
2017/08/30,,東武,五反野,,メトロ,仲御徒町,309,966,
2017/08/29,,メトロ,秋葉原,,東武,五反野,339,1275,
2017/08/29,,東武,五反野,,,,-1000,1614,現金ﾁｬｰｼﾞ
2017/08/29,,JR東,大崎,,JR東,秋葉原,194,614,
2017/08/29,,JR東,御徒町,,JR東,大崎,194,808,
2017/08/29,,東武,五反野,,メトロ,仲御徒町,309,1002,
2017/08/28,,東武,五反野,,,,-1000,1311,現金ﾁｬｰｼﾞ
2017/08/28,,メトロ,上野,,東武,五反野,309,311,
2017/08/28,,JR東,大崎,,JR東,上野,194,620,
2017/08/28,,JR東,上野,,JR東,大崎,0,814,窓出
2017/08/28,,東武,五反野,,メトロ,上野,309,814,
2017/08/28,,東武,五反野,,,,-1000,1123,現金ﾁｬｰｼﾞ
2017/08/27,,東武,栃木,,東武,五反野,885,123,
2017/08/27,,東武,栃木,,,,-1000,1008,現金ﾁｬｰｼﾞ
2017/08/10,,東武,五反野,,東武,栃木,885,8,
2017/08/10,,東武,栃木,,,,-640,893,現金ﾁｬｰｼﾞ
2017/08/10,,メトロ,秋葉原,,東武,五反野,339,253,
2017/08/10,,JR東,桜木町,,JR東,秋葉原,550,592,
2017/08/10,,JR東,桜木町,,,,-1000,1142,現金ﾁｬｰｼﾞ
2017/08/10,,JR東,上野,,JR東,桜木町,550,142,
2017/08/10,,東武,五反野,,メトロ,上野,309,692,
2017/08/09,,東武,五反野,,,,-1000,1001,現金ﾁｬｰｼﾞ
2017/08/09,,東武,北千住,,東武,五反野,144,1,
2017/08/09,,JR東,巣鴨,,JR東,北千住,165,145,
2017/08/09,,都営,巣鴨,,都営,巣鴨,0,310,窓出
2017/08/09,,都営,千石,,都営,巣鴨,174,310,
2017/08/09,,都営,巣鴨,,都営,千石,174,484,
2017/08/09,,JR東,上野,,JR東,巣鴨,154,658,
2017/08/09,,東武,五反野,,メトロ,上野,309,812,
2017/08/09,,東武,五反野,,,,-1000,1121,現金ﾁｬｰｼﾞ
2017/08/09,,東武,栃木,,東武,五反野,885,121,
2017/08/09,,東武,栃木,,,,-1000,1006,現金ﾁｬｰｼﾞ
2017/08/04,,東武,五反野,,東武,栃木,885,6,
2017/08/04,,東武,栃木,,,,-510,891,現金ﾁｬｰｼﾞ
2017/08/04,,メトロ,上野,,東武,五反野,309,381,
2017/08/04,,JR東,新横浜,,JR東,上野,637,690,
2017/08/04,,JR東,新横浜,,,,-1000,1327,現金ﾁｬｰｼﾞ
2017/08/04,,JR東,御徒町,,JR東,新横浜,637,327,
2017/08/04,,東武,五反野,,メトロ,仲御徒町,309,964,
2017/08/04,,東武,五反野,,,,-1000,1273,現金ﾁｬｰｼﾞ
2017/07/31,,メトロ,仲御徒町,,東武,五反野,309,273,
2017/07/31,,JR東,大崎,,JR東,御徒町,194,582,
2017/07/31,,JR東,大崎,,,,140,776,精算
2017/07/31,,JR東,大崎,,JR東,大崎,0,916,窓出
2017/07/31,,JR東,西日暮里,,JR東,大崎,259,916,
2017/07/31,,東武,五反野,,メトロ,西日暮里,289,1175,
2017/07/30,,東武,五反野,,,,-1000,1464,現金ﾁｬｰｼﾞ
2017/07/30,,東武,栃木,,東武,五反野,885,464,
2017/07/30,,東武,栃木,,,,-1000,1349,現金ﾁｬｰｼﾞ
2017/07/28,,東武,五反野,,東武,栃木,885,349,
2017/07/28,,メトロ,西日暮里,,東武,五反野,289,1234,
2017/07/28,,都営,西日暮里,,,,-1000,1523,現金ﾁｬｰｼﾞ
2017/07/28,,東武,五反野,,メトロ,西日暮里,289,523,
2017/07/27,,メトロ,西日暮里,,東武,五反野,289,812,
2017/07/27,,メトロ,西日暮里,,,,-1000,1101,現金ﾁｬｰｼﾞ
2017/07/27,,東武,五反野,,メトロ,西日暮里,289,101,
2017/07/26,,メトロ,西日暮里,,東武,五反野,289,390,
2017/07/26,,東武,五反野,,メトロ,西日暮里,289,679,
2017/07/25,,メトロ,西日暮里,,東武,五反野,289,968,
2017/07/25,,東武,五反野,,,,-1000,1257,現金ﾁｬｰｼﾞ
2017/07/25,,東武,五反野,,メトロ,西日暮里,289,257,
2017/07/24,,メトロ,西日暮里,,東武,五反野,289,546,
2017/07/24,,東武,五反野,,メトロ,西日暮里,289,835,
2017/07/23,,東武,栃木,,東武,五反野,885,1124,
2017/07/23,,東武,栃木,,,,-2000,2009,現金ﾁｬｰｼﾞ
2017/07/21,,東武,五反野,,東武,栃木,885,9,
2017/07/21,,東武,栃木,,,,-360,894,現金ﾁｬｰｼﾞ
2017/07/21,,メトロ,西日暮里,,東武,五反野,289,534,
2017/07/21,,JR東,秋葉原,,JR東,西日暮里,154,823,
2017/07/21,,JR東,西日暮里,,JR東,秋葉原,154,977,
2017/07/21,,メトロ,西日暮里,,,,-1000,1131,現金ﾁｬｰｼﾞ
2017/07/21,,東武,五反野,,メトロ,西日暮里,289,131,
2017/07/20,,メトロ,西日暮里,,東武,五反野,289,420,
2017/07/20,,東武,五反野,,メトロ,西日暮里,289,709,
2017/07/19,,メトロ,上野,,東武,五反野,309,998,
2017/07/19,,東武,五反野,,,,-1000,1307,現金ﾁｬｰｼﾞ
2017/07/19,,JR東,新子安,,JR東,上野,464,307,
2017/07/19,,JR東,上野,,JR東,新子安,464,771,
2017/07/19,,東武,五反野,,メトロ,上野,309,1235,
